Review Id,Tag
2465,Shallow Fix
2761,Flawed Changes
2785,Squashing Commits
2788,Squashing Commits
3046,Side Effect
3287,Already Fixed
3772,Already Fixed
5272,Alternative Solution
5958,Flawed Changes
6276,Not an Issue
6362,Branch Placement
6922,Unclear Intention
8073,Squashing Commits
8532,Shallow Fix
8642,Alternative Solution
8953,Already Fixed
9537,Shallow Fix
9878,Shallow Fix
10325,Already Fixed
10760,Already Fixed
11026,Alternative Solution
11336,Side Effect
12237,Unclear Intention
12642,Unclear Intention
12651,Test Coverage
12816,Not an Issue
13057,Already Fixed
13211,Alternative Solution
13269,Shallow Fix
16250,Patch Size
16252,Patch Size
16253,Patch Size
16256,Patch Size
16257,Patch Size
16258,Patch Size
16830,Lost by an author
17333,Side Effect
18577,Release Schedule
19786,Alternative Solution
19906,Not an Issue
20075,Shallow Fix
20456,Already Fixed
21017,Not an Issue
22162,Shallow Fix
22175,Already Fixed
23088,Release Schedule
23562,Patch Dependency
24754,Branch Placement
24824,Already Fixed
25148,Already Fixed
25438,Alternative Solution
26566,Shallow Fix
26709,Already Fixed
27310,Blueprint
27861,Not an Issue
28116,Release Schedule
28322,Branch Placement
29468,Already Fixed
29803,Shallow Fix
29831,Squashing Commits
33395,Shallow Fix
34030,Already Fixed
34297,Already Fixed
34320,Alternative Solution
34339,Alternative Solution
35088,Lost by a reviewer
35472,Not an Issue
35703,Side Effect
36287,Alternative Solution
37823,Shallow Fix
38114,Not an Issue
38270,Already Fixed
38341,Already Fixed
38957,Already Fixed
39484,Backward Compatibility
39614,Side Effect
40232,Blueprint
40857,Not an Issue
42146,Not an Issue
42335,Patch Dependency
42355,Patch Dependency
43606,Unclear Intention
45695,Flawed Changes
46465,Branch Placement
46767,Alternative Solution
46862,Not an Issue
47695,Not an Issue
48246,Release Schedule
48388,Lost by an author
48546,Already Fixed
48724,Unclear Intention
48727,Shallow Fix
50407,Shallow Fix
51995,Release Schedule
52804,Alternative Solution
53041,Already Fixed
53454,Shallow Fix
53867,Release Schedule
54948,Test Failure
55148,Already Fixed
56602,Not an Issue
56641,Unclear Intention
56767,Alternative Solution
57149,Shallow Fix
57162,Alternative Solution
57836,Release Schedule
58138,Release Schedule
58303,Already Fixed
58577,Not an Issue
58612,Unclear Intention
59075,Flawed Changes
59524,Patch Dependency
60351,Already Fixed
61018,Flawed Changes
61169,Not an Issue
61214,Already Fixed
61499,Already Fixed
62026,Alternative Solution
62408,Flawed Changes
62426,Shallow Fix
62452,Branch Placement
62866,Shallow Fix
62871,Release Schedule
63192,Patch Dependency
63690,Blueprint
64239,Blueprint
64388,Shallow Fix
64821,Lost by an author
65460,Already Fixed
66190,Alternative Solution
67059,Flawed Changes
67470,Alternative Solution
67607,Lost by an author
67767,Alternative Solution
67906,Alternative Solution
68361,Flawed Changes
69102,Flawed Changes
70000,Shallow Fix
70333,Already Fixed
70565,Blueprint
70656,Shallow Fix
70759,Shallow Fix
72530,Already Fixed
72542,Release Schedule
72764,Squashing Commits
72992,Alternative Solution
73782,Release Schedule
73847,Already Fixed
73881,Squashing Commits
74039,Unclear Intention
75650,Not an Issue
76783,Lost by an author
77074,Already Fixed
77085,Flawed Changes
77360,Blueprint
77982,Already Fixed
78855,Already Fixed
79593,Shallow Fix
80937,Shallow Fix
81132,Release Schedule
81973,Shallow Fix
82320,Release Schedule
82470,Flawed Changes
82482,Already Fixed
82857,Unclear Intention
83151,Lost by an author
83394,Not an Issue
83794,Not an Issue
84420,Release Schedule
84708,Unclear Intention
84807,Alternative Solution
89524,Flawed Changes
89859,Alternative Solution
